id_estadio,nombre,ciudad,pais,capacidad,tipo_superficie,altitud_metros,techado
EST-000001,Estadio Monumental Antonio Vespucio Liberti,Buenos Aires,Argentina,85018,natural,25,false
EST-000002,Wembley Stadium,Londres,Inglaterra,90000,natural,11,false
EST-000003,Stade de France,Saint-Denis,Francia,81338,natural,35,false
EST-000004,Estádio do Maracanã,Río de Janeiro,Brasil,78838,natural,10,false
EST-000005,Estadio Santiago Bernabéu,Madrid,España,83186,natural,667,true
EST-000006,Allianz Arena,Múnich,Alemania,70000,natural,520,false
EST-000007,Estádio da Luz,Lisboa,Portugal,68100,natural,60,false
EST-000008,Stadio Giuseppe Meazza (San Siro),Milán,Italia,75923,natural,132,false
EST-000009,Johan Cruijff ArenA,Ámsterdam,Países Bajos,55865,natural,-2,true
EST-000010,King Baudouin Stadium,Bruselas,Bélgica,50093,natural,13,false
EST-000011,Stadion Maksimir,Zagreb,Croacia,25912,natural,122,false
EST-000012,Estadio Metropolitano Roberto Meléndez,Barranquilla,Colombia,46788,natural,5,false
EST-000013,Estadio Azteca,Ciudad de México,México,87523,natural,2200,false
EST-000014,Estadio Centenario,Montevideo,Uruguay,60235,natural,22,false
EST-000015,MetLife Stadium,East Rutherford,Estados Unidos,82500,natural,4,false
EST-000016,Estadio Nacional de Japón,Tokio,Japón,68000,natural,40,false
EST-000017,Parken,Copenhague,Dinamarca,38190,natural,5,true
EST-000018,Ernst-Happel-Stadion,Viena,Austria,50865,natural,171,false
EST-000019,PGE Narodowy,Varsovia,Polonia,58580,natural,108,true
EST-000020,Strawberry Arena,Estocolmo,Suecia,50000,natural,28,false
EST-000021,St. Jakob-Park,Basilea,Suiza,37500,natural,279,false
EST-000022,BMO Field,Toronto,Canadá,30991,natural,76,false
EST-000023,Stadium Australia,Sídney,Australia,83500,natural,39,false
EST-000024,Seoul World Cup Stadium,Seúl,Corea del Sur,66704,natural,42,false
EST-000025,Estadio Mohammed V,Casablanca,Marruecos,45000,natural,50,false
EST-000026,Estadio Internacional de El Cairo,El Cairo,Egipto,75000,natural,74,false
EST-000027,Estadio Nacional Moshood Abiola,Abuya,Nigeria,60491,natural,360,false
EST-000028,Estadio Nelson Mandela,Argel,Argelia,40784,natural,113,false
EST-000029,Estadio Olímpico Alassane Ouattara,Ebimpé (Abiyán),Costa de Marfil,60012,natural,24,false
EST-000030,Estadio Abdoulaye Wade,Diamniadio (Dakar),Senegal,50000,natural,30,false
EST-000031,Estadio Azadi,Teherán,Irán,78116,natural,1184,false
EST-000032,Estadio Şükrü Saracoğlu,Estambul,Turquía,47430,natural,42,false
EST-000033,Olympiastadion Berlin,Berlín,Alemania,73856,natural,34,false
EST-000034,VELTINS-Arena,Gelsenkirchen,Alemania,62271,natural,60,true
EST-000035,MERKUR SPIEL-ARENA,Düsseldorf,Alemania,54600,natural,38,true
EST-000036,Red Bull Arena,Leipzig,Alemania,47800,natural,113,false
EST-000037,Signal Iduna Park,Dortmund,Alemania,81365,hibrido,86,false
EST-000038,Deutsche Bank Park,Fráncfort del Meno,Alemania,59500,natural,112,true
EST-000039,MHPArena,Stuttgart,Alemania,60058,natural,245,false
EST-000040,Volksparkstadion,Hamburgo,Alemania,57000,hibrido,6,false
EST-000041,RheinEnergieSTADION,Colonia,Alemania,50000,natural,37,false
EST-000042,Mercedes-Benz Stadium,Atlanta,Estados Unidos,71000,artificial,320,true
EST-000043,AT&T Stadium,Arlington,Estados Unidos,80000,artificial,184,true
EST-000044,Q2 Stadium,Austin,Estados Unidos,20730,natural,185,false
EST-000045,Bank of America Stadium,Charlotte,Estados Unidos,74860,artificial,227,false
EST-000046,NRG Stadium,Houston,Estados Unidos,72220,artificial,32,true
EST-000047,SoFi Stadium,Inglewood,Estados Unidos,70240,artificial,40,true
EST-000048,Levi's Stadium,Santa Clara,Estados Unidos,68500,natural,5,false
EST-000049,State Farm Stadium,Glendale,Estados Unidos,63400,natural,351,true
EST-000050,Allegiant Stadium,Paradise (Las Vegas),Estados Unidos,65500,,627,true
EST-000051,Arrowhead Stadium (GEHA Field at Arrowhead Stadium),Kansas City (Misuri),Estados Unidos,76416,natural,260,false
EST-000052,Children's Mercy Park,Kansas City (Kansas),Estados Unidos,18460,natural,265,false
EST-000053,Hard Rock Stadium,Miami Gardens,Estados Unidos,64767,natural,3,false
EST-000054,Inter&Co Stadium,Orlando,Estados Unidos,25500,natural,27,false
EST-000055,Lincoln Financial Field,Filadelfia,Estados Unidos,67594,hibrido,12,false
EST-000056,Lumen Field,Seattle,Estados Unidos,66925,artificial,45,false
EST-000057,Gillette Stadium,Foxborough,Estados Unidos,64628,artificial,87,false
EST-000058,BC Place,Vancouver,Canadá,54500,artificial,0,true
EST-000059,Estadio BBVA,Guadalupe,México,53529,hibrido,530,false
EST-000060,Estadio Akron,Zapopan,México,49813,natural,1670,false
EST-000061,Estadio Mestalla,Valencia,España,49419,natural,15,false
EST-000062,Stadion Poljud,Split,Croacia,33987,natural,0,false
