id_estadistica_partido,id_partido,id_seleccion,xg,posesion_pct,disparos_totales,disparos_al_arco,corners,faltas_cometidas,tarjetas_amarillas,tarjetas_rojas,pases_completados,precision_pases_pct
ESTP-000001,PAR-000001,ESP,1.91,47,11,5,5,14,1,0,410,83.7
ESTP-000002,PAR-000001,CRO,2.48,53,16,5,0,13,0,0,482,86.5
ESTP-000003,PAR-000002,ESP,1.53,57,20,9,5,17,3,0,564,90.4
ESTP-000004,PAR-000002,ITA,0.18,43,4,1,2,14,2,0,389,81.7
ESTP-000005,PAR-000003,AUT,0.87,52,6,3,6,18,5,0,432,81.7
ESTP-000006,PAR-000003,FRA,1.85,48,14,3,2,11,2,0,421,84.4
ESTP-000007,PAR-000004,NED,0.58,37,8,4,3,13,1,0,367,86.6
ESTP-000008,PAR-000004,FRA,1.40,63,15,3,6,8,0,0,630,90.4
ESTP-000009,PAR-000005,FRA,2.34,58,19,8,11,12,1,0,511,86.3
ESTP-000010,PAR-000005,POL,1.16,42,10,3,3,15,3,0,372,84.4
ESTP-000011,PAR-000006,DEN,0.98,51,16,7,4,13,3,0,495,84.3
ESTP-000012,PAR-000006,ENG,1.02,49,12,4,2,5,1,0,489,84.7
ESTP-000013,PAR-000007,FRA,0.95,55,19,2,5,7,3,0,590,90.8
ESTP-000014,PAR-000007,BEL,0.22,45,5,2,2,10,2,0,456,87.0
ESTP-000015,PAR-000008,GER,2.09,52,23,5,5,22,8,0,543,82.9
ESTP-000016,PAR-000008,ESP,1.48,48,18,6,1,17,5,1,512,84.5
ESTP-000017,PAR-000009,POR,1.70,60,15,4,11,8,1,0,839,90.5
ESTP-000018,PAR-000009,FRA,1.21,40,20,5,4,13,1,0,561,89.8
ESTP-000019,PAR-000010,ENG,0.82,52,13,3,4,8,1,0,647,87.7
ESTP-000020,PAR-000010,SUI,1.43,48,11,3,3,13,2,0,602,89.5
ESTP-000021,PAR-000011,ESP,0.75,58,6,2,4,9,2,0,473,87.3
ESTP-000022,PAR-000011,FRA,1.12,42,9,3,6,14,2,0,318,81.3
ESTP-000023,PAR-000012,NED,0.59,42,7,2,3,11,3,0,396,89.0
ESTP-000024,PAR-000012,ENG,1.34,58,9,5,0,6,3,0,559,90.6
ESTP-000025,PAR-000013,ESP,1.90,65,16,6,10,11,1,0,518,87.5
ESTP-000026,PAR-000013,ENG,0.63,35,9,4,2,5,3,0,254,78.6
ESTP-000027,PAR-000014,ARG,3.54,65,19,9,7,15,2,0,547,90.6
ESTP-000028,PAR-000014,CAN,0.98,35,10,2,4,9,2,0,265,81.0
ESTP-000029,PAR-000015,BRA,0.31,51,7,3,7,14,3,0,343,81.3
ESTP-000030,PAR-000015,COL,1.50,49,13,6,5,19,2,0,337,84.0
ESTP-000031,PAR-000016,ARG,0.86,51,8,2,2,13,2,0,310,82.9
ESTP-000032,PAR-000016,ECU,1.39,49,9,2,5,14,2,0,290,81.9
ESTP-000033,PAR-000017,URU,0.63,40,12,1,6,26,2,1,185,73.7
ESTP-000034,PAR-000017,BRA,0.58,60,7,3,2,15,2,0,308,79.8
ESTP-000035,PAR-000018,ARG,1.75,51,11,3,2,5,1,0,406,85.0
ESTP-000036,PAR-000018,CAN,0.72,49,9,2,2,15,3,0,395,86.2
ESTP-000037,PAR-000019,ARG,1.08,44,11,6,4,8,2,0,515,85.5
ESTP-000038,PAR-000019,COL,0.97,56,19,4,7,18,2,0,391,82.5
ESTP-000039,PAR-000020,ESP,,54,19,9,4,14,2,0,,
ESTP-000040,PAR-000020,NED,,46,16,9,2,11,1,0,,
ESTP-000041,PAR-000021,ESP,,43,16,8,4,17,2,0,,
ESTP-000042,PAR-000021,FRA,,57,24,9,6,14,4,0,,
ESTP-000043,PAR-000022,POR,,39,7,2,3,14,3,0,,
ESTP-000044,PAR-000022,ESP,,61,16,6,4,19,4,0,,
ESTP-000045,PAR-000023,CRO,,38,8,4,3,12,0,0,,
