id_partido,id_torneo,id_seleccion_local,id_seleccion_visitante,id_estadio,id_arbitro,fecha,hora_local,fase,jornada,goles_local,goles_visitante,estado_partido,asistencia
PAR-000001,TOR-2024-EUROCOPA,ESP,CRO,EST-000033,ARB-000045,2024-06-15,18:00,fase_grupos,1,3,0,finalizado,68844
PAR-000002,TOR-2024-EUROCOPA,ESP,ITA,EST-000034,ARB-000050,2024-06-20,21:00,fase_grupos,2,1,0,finalizado,49528
PAR-000003,TOR-2024-EUROCOPA,AUT,FRA,EST-000035,,2024-06-17,21:00,fase_grupos,1,0,1,finalizado,46425
PAR-000004,TOR-2024-EUROCOPA,NED,FRA,EST-000036,ARB-000048,2024-06-21,21:00,fase_grupos,2,0,0,finalizado,38531
PAR-000005,TOR-2024-EUROCOPA,FRA,POL,EST-000037,,2024-06-25,18:00,fase_grupos,3,1,1,finalizado,59728
PAR-000006,TOR-2024-EUROCOPA,DEN,ENG,EST-000038,,2024-06-20,18:00,fase_grupos,2,1,1,finalizado,46177
PAR-000007,TOR-2024-EUROCOPA,FRA,BEL,EST-000035,ARB-000044,2024-07-01,18:00,octavos_final,,1,0,finalizado,46810
PAR-000008,TOR-2024-EUROCOPA,GER,ESP,EST-000039,ARB-000048,2024-07-05,21:00,cuartos_final,,1,2,finalizado,54000
PAR-000009,TOR-2024-EUROCOPA,POR,FRA,EST-000040,ARB-000045,2024-07-05,21:00,cuartos_final,,0,0,finalizado,47789
PAR-000010,TOR-2024-EUROCOPA,ENG,SUI,EST-000035,,2024-07-06,21:00,cuartos_final,,1,1,finalizado,46907
PAR-000011,TOR-2024-EUROCOPA,ESP,FRA,EST-000006,ARB-000050,2024-07-09,21:00,semifinal,,2,1,finalizado,62042
PAR-000012,TOR-2024-EUROCOPA,NED,ENG,EST-000037,ARB-000051,2024-07-10,21:00,semifinal,,1,2,finalizado,60926
PAR-000013,TOR-2024-EUROCOPA,ESP,ENG,EST-000033,ARB-000040,2024-07-14,21:00,final,,2,1,finalizado,65600
PAR-000014,TOR-2024-COPAAMERICA,ARG,CAN,EST-000042,ARB-000035,2024-06-20,20:00,fase_grupos,1,2,0,finalizado,70564
PAR-000015,TOR-2024-COPAAMERICA,BRA,COL,EST-000048,ARB-000035,2024-07-02,18:00,fase_grupos,3,1,1,finalizado,70971
PAR-000016,TOR-2024-COPAAMERICA,ARG,ECU,EST-000046,,2024-07-04,20:00,cuartos_final,,1,1,finalizado,69456
PAR-000017,TOR-2024-COPAAMERICA,URU,BRA,EST-000050,ARB-000029,2024-07-06,18:00,cuartos_final,,0,0,finalizado,55770
PAR-000018,TOR-2024-COPAAMERICA,ARG,CAN,EST-000015,,2024-07-09,20:00,semifinal,,2,0,finalizado,80102
PAR-000019,TOR-2024-COPAAMERICA,ARG,COL,EST-000053,ARB-000026,2024-07-14,20:00,final,,1,0,finalizado,65300
PAR-000020,TOR-2024-NATIONSLEAGUE,ESP,NED,EST-000061,ARB-000049,2025-03-23,19:45,cuartos_final,,3,3,finalizado,48082
PAR-000021,TOR-2024-NATIONSLEAGUE,ESP,FRA,EST-000039,ARB-000045,2025-06-05,21:00,semifinal,,5,4,finalizado,51724
PAR-000022,TOR-2024-NATIONSLEAGUE,POR,ESP,EST-000006,ARB-000047,2025-06-08,21:00,final,,2,2,finalizado,65852
PAR-000023,TOR-2024-NATIONSLEAGUE,CRO,FRA,EST-000062,ARB-000037,2025-03-20,20:45,cuartos_final,,2,0,finalizado,30551
PAR-000024,TOR-2024-NATIONSLEAGUE,FRA,CRO,EST-000003,ARB-000045,2025-03-23,,cuartos_final,,2,0,finalizado,77502
PAR-000025,TOR-2024-NATIONSLEAGUE,GER,FRA,EST-000039,,2025-06-08,15:00,tercer_puesto,,0,2,finalizado,51313
PAR-000026,TOR-2026-ELIM-CONMEBOL,URU,ARG,EST-000014,ARB-000025,2025-03-21,20:30,eliminatoria,13,0,1,finalizado,55000
PAR-000027,TOR-2026-ELIM-CONMEBOL,ARG,BRA,EST-000001,ARB-000031,2025-03-25,21:00,eliminatoria,14,4,1,finalizado,85015
PAR-000028,TOR-2026-ELIM-CONMEBOL,ARG,COL,EST-000001,ARB-000025,2025-06-10,21:00,eliminatoria,16,1,1,finalizado,77791
PAR-000029,TOR-2026-ELIM-CONMEBOL,ECU,ARG,EST-000063,,2025-09-09,,eliminatoria,18,1,0,finalizado,
PAR-000030,TOR-2026-ELIM-CONMEBOL,BRA,URU,EST-000064,,2024-11-19,21:45,eliminatoria,12,1,1,finalizado,41511
PAR-000031,TOR-2026-ELIM-CONMEBOL,BRA,COL,EST-000065,,2025-03-20,21:45,eliminatoria,13,2,1,finalizado,70027
PAR-000032,TOR-2026-ELIM-CONMEBOL,ECU,BRA,EST-000063,,2025-06-05,18:00,eliminatoria,15,0,0,finalizado,59283
PAR-000033,TOR-2024-EUROCOPA,ALB,ESP,EST-000035,ARB-000044,2024-06-24,21:00,fase_grupos,3,0,1,finalizado,46586
PAR-000034,TOR-2024-EUROCOPA,SRB,ENG,EST-000034,,2024-06-16,21:00,fase_grupos,1,0,1,finalizado,48953
PAR-000035,TOR-2024-EUROCOPA,ENG,SVN,EST-000041,ARB-000049,2024-06-25,21:00,fase_grupos,3,0,0,finalizado,41536
PAR-000036,TOR-2024-EUROCOPA,ESP,GEO,EST-000041,ARB-000040,2024-06-30,21:00,octavos_final,,4,1,finalizado,42233
PAR-000037,TOR-2024-EUROCOPA,ENG,SVK,EST-000034,,2024-06-30,18:00,octavos_final,,2,1,finalizado,47244
PAR-000038,TOR-2024-COPAAMERICA,CHI,ARG,EST-000015,,2024-06-25,21:00,fase_grupos,2,0,1,finalizado,81106
PAR-000039,TOR-2024-COPAAMERICA,ARG,PER,EST-000053,ARB-000023,2024-06-29,20:00,fase_grupos,3,2,0,finalizado,64972
PAR-000040,TOR-2024-COPAAMERICA,BRA,CRC,EST-000047,ARB-000023,2024-06-24,18:00,fase_grupos,1,0,0,finalizado,67158
PAR-000041,TOR-2024-COPAAMERICA,PAR,BRA,EST-000050,,2024-06-28,18:00,fase_grupos,2,1,4,finalizado,46939
PAR-000042,TOR-2024-NATIONSLEAGUE,ENG,GRE,EST-000002,,2024-10-10,19:45,fase_liga,3,1,2,finalizado,79012
PAR-000043,TOR-2024-NATIONSLEAGUE,ENG,IRL,EST-000002,,2024-11-17,18:00,fase_liga,6,5,0,finalizado,79969
PAR-000044,TOR-2026-ELIM-CONMEBOL,ARG,VEN,EST-000001,,2025-09-04,20:30,eliminatoria,17,3,0,finalizado,76490
PAR-000045,TOR-2026-ELIM-CONMEBOL,BRA,CHI,EST-000004,,2025-09-04,21:30,eliminatoria,17,3,0,finalizado,57326
PAR-000046,TOR-2020-EUROCOPA,ENG,CRO,EST-000002,,2021-06-13,15:00,fase_grupos,1,1,0,finalizado,18497
PAR-000047,TOR-2020-EUROCOPA,ESP,SWE,EST-000066,,2021-06-14,21:00,fase_grupos,1,0,0,finalizado,10559
PAR-000048,TOR-2020-EUROCOPA,FRA,GER,EST-000006,,2021-06-15,21:00,fase_grupos,1,1,0,finalizado,13000
PAR-000049,TOR-2020-EUROCOPA,ESP,POL,EST-000066,,2021-06-19,21:00,fase_grupos,2,1,1,finalizado,11742
PAR-000050,TOR-2020-EUROCOPA,HUN,FRA,EST-000068,,2021-06-19,15:00,fase_grupos,2,1,1,finalizado,55998
PAR-000051,TOR-2020-EUROCOPA,CZE,ENG,EST-000002,,2021-06-22,21:00,fase_grupos,3,0,1,finalizado,19104
PAR-000052,TOR-2020-EUROCOPA,SVK,ESP,EST-000066,,2021-06-23,18:00,fase_grupos,3,0,5,finalizado,11204
PAR-000053,TOR-2020-EUROCOPA,POR,FRA,EST-000068,,2021-06-23,21:00,fase_grupos,3,2,2,finalizado,54886
PAR-000054,TOR-2020-EUROCOPA,CRO,ESP,EST-000017,,2021-06-28,,octavos_final,,3,5,finalizado,22771
PAR-000055,TOR-2020-EUROCOPA,FRA,SUI,EST-000069,,2021-06-28,,octavos_final,,3,3,finalizado,22642
PAR-000056,TOR-2020-EUROCOPA,ENG,GER,EST-000002,,2021-06-29,,octavos_final,,2,0,finalizado,
PAR-000057,TOR-2020-EUROCOPA,SUI,ESP,EST-000067,,2021-07-02,,cuartos_final,,1,1,finalizado,
PAR-000058,TOR-2020-EUROCOPA,UKR,ENG,EST-000070,,2021-07-03,,cuartos_final,,0,4,finalizado,
